#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
INSULT_PIGFACE;pigface;face de cochon;[Root.GetGesichtskrapfenHackfresse];;caracerdo;;;;;;;;;x #noun - child - chaste gluttonous
EVTOPTA_RIP_22008_TOOLTIP;All of your Demesne gets §Y'Peasant Crisis'§! for 10 years, giving the following effects:\nLocal Revolt Risk: §R+15.0%§!\nLocal Tax Modifier: §R-75.0%§!\n\n;Tout votre domaine obtient '§YCrise paysanne§!' pendant dix ans, avec pour effets : \nRisque local de révolte : §R+15%§!\nModificateur local d'impôt : §R-75%§!\n\n;Eure gesamte Domäne erhält 10 Jahre lang §Y"Bauernkrise"§! mit den folgenden Auswirkungen:\nRisiko lokaler Revolte: §R+15.0%§!\nLokaler Steuermodifikator: §R-75.0%§!\n\n;;Toda tu heredad recibe §Y'Crisis campesina'§! durante 10 años, causando los siguientes efectos: \nRiesgo de revuelta local: §R+15,0%§!\nModificador de impuestos locales: §R-75,0%§!\n\n;;;;;;;;;x
EVTNAME_RIP_22009;A World on Fire;Un monde à feu et à sang;Welt in Flammen;;El mundo en llamas;;;;;;;;;x
EVTDSC_RIP_22009;Despite your efforts to handle the situation - or perhaps exactly because of them - the situation in your realm has doubtlessly gotten out of hand. It is no longer within your power to rein in the fear and anger of your people. They are turning on each other, neighbours slaying neighbours, friends betraying friends. Sometimes the motivations behind these killings are nothing more than a simple cough or wound. \n\nIt is clear to you now that the rumors about the living dead were never true, though it matters little. Many innocents lost their life to persecution, rather than the disease itself. The streets will not be crowded again for many years to come. The scars in your subjects' minds will likely last much longer...;Malgré vos efforts pour gérer la situation -ou peut-être précisément à cause d'eux- celle-ci est devenue ingérable. Il n'est plus en votre pouvoir de contenir la peur et la colère de votre peuple. Ils s'attaquent les uns les autres, les voisins s'entretuent, les amis se trahissent. Parfois les motivations derrière ces tueries ne sont qu'une simple toux ou une plaie.\n\nIl est clair à vos yeux que les rumeurs au sujet des morts-vivants étaient infondées. Cependant, cela importe peu. De nombreux innocents ont perdu la vie à cause de la persécution plutôt que par la maladie elle-même. Les rues ne seront plus bondées avant de nombreuses années. Les marques laissées dans les esprits de vos sujets dureront probablement encore plus longtemps...;Trotz Eurer Bemühungen, die Situation in den Griff zu bekommen (oder vielleicht auch gerade deswegen), ist die Situation im Reich gründlich außer Kontrolle geraten. Ihr habt nun keine Möglichkeit mehr, die Angst und den Zorn Eurer Untertanen zu zügeln. Der Zusammenhalt innerhalb des Volkes ist verloren: Freunde betrügen und Nachbarn ermorden einander. Dabei reicht die kleinste Bagatelle als Anlass für Gewalt aus. \n\nEuch wird klar, dass an den Gerüchten von den lebenden Toten nie etwas dran war, aber das spielt nun keine Rolle mehr. Die Zahl der Unschuldigen, die aufgrund der Jagd ihr Leben verlor, übersteigt die der Opfer der Krankheit. Die Straßen werden auf Jahre hinaus verwaist sein, und die seelischen Narben des Volkes werden wahrscheinlich noch länger brauchen. ;;A pesar de tus esfuerzos por controlar la situación, o tal vez a causa de ellos, está claro que la situación en tu reino está fuera de control. Ya no está en tu mano controlar el miedo y la ira de tu pueblo. Se vuelven el uno contra otro, los vecinos se matan entre sí, los amigos se traicionan. A veces los motivos tras estas muertes no son más que una simple tos o herida.\n\nAhora te queda claro que los rumores de los muertos vivientes nunca fueron ciertos, aunque eso importa poco. Muchos inocentes perdieron la vida más por la persecución que por la enfermedad en sí. Las calles no volverán estar llenas de gente durante muchos años. Las cicatrices en las mentes de tus súbditos se mantendrán durante mucho más tiempo…;;;;;;;;;x
EVTOPTA_RIP_22009;Is this the punishment of [Root.Religion.GetHighGodName]?;Serait-ce [Root.Get_le_HighGod] qui me punit ?;Ist das eine Strafe, die [Root.Religion.GetHighGodName] uns auferlegt hat?;;¿Es este el castigo de [Root.Religion.GetHighGodName]?;;;;;;;;;x
EVTOPTA_RIP_22009_TOOLTIP;The depopulation level increases by 1 in all of your counties.;Le niveau de dépopulation augmente d'un point dans tous vos comtés.;Der Bevölkerungsverlust in all Euren Provinzen erhöht sich um 1.;;El nivel de despoblación aumenta en 1 en todas tus provincias.;;;;;;;;;x
EVTNAME_RIP_22010;Last Living Souls;Les seuls survivants;Die letzten lebenden Seelen;;Las últimas almas;;;;;;;;;x
EVTDSC_RIP_22010;Your inability to handle the threat of the "living dead" has left your realm shaken and shattered. While the rumors turned out to be false, the disease has still ravaged your lands. Many fields and orchards lay abandoned in the countryside, and in the towns crowded streets are a rare sight. Those who are left struggle hard to make ends meet. You and your court is no exception. Not even [Root.GetTitle]s are immune to the touch of Death. \n\nWhen will the nightmare end, you ask yourself. Who knows? Perhaps it must get even worse before things turn around for the better. All you know for certain is that the streets will not be crowded again for many years to come. The scars in your subjects' minds, however, will likely last much longer...;Votre incapacité à gérer la menace des « morts-vivants » a laissé votre pays s'embraser. Alors que les rumeurs se sont révélées être fausses, la maladie a continué à dévaster vos terres. A la campagne, nombre de champs et de vergers sont abandonnés, et à la ville voir une rue bondée est devenue rare. Ceux qui ont survécu doivent lutter pour joindre les deux bouts. Vous et votre cour également. Même les [Root.GetTitle]s n'ont pas d'immunité face à la mort. \n\nVous vous demandez quand le cauchemar prendra fin. Qui sait ? Peut-être que cela doit être encore pire avant que les choses ne s'améliorent. Tout ce que vous savez, c'est que les rues ne seront plus bondées avant de nombreuses années et que les marques laissées dans les esprits de vos sujets dureront probablement encore plus longtemps...;Euer Versagen bei der Handhabung der Bedrohung durch die "lebenden Toten" hat Euer Reich geschwächt und erschüttert. Obwohl sich herausstellte, dass die Gerüchte keinen wahren Kern hatten, wurde Euer Land von der Krankheit dennoch verwüstet. Viele Felder und Obstgärten liegen brach und in den Städten ist der Anblick einer belebten Straße selten geworden. Die Überlebenden plagen sich damit, ein Auskommen zu finden. Auch Ihr und Euer Hof seid davon nicht ausgenommen. Nicht einmal [Root.Geteineine] [Root.GetTitle] ist gegen den Griff des Todes gewappnet.\n\nWann wird dieser Albtraum ein Ende haben, fragt Ihr Euch. Wer weiß? Vielleicht muss es erst noch schlimmer werden, bevor der Wendepunkt erreicht ist. Feststeht, dass die Straßen auf Jahre hinaus menschenleer bleiben werden. Die seelischen Wunden allerdings werden noch länger sichtbar bleiben.;;Tu incapacidad para manejar la amenaza de los muertos vivientes» ha dejado tu reino destrozado y alterado. Aunque los rumores resultaron ser falsos, la enfermedad siguió asolando tus tierras. Muchos campos y huertos permanecen abandonados y en los pueblos es raro ver calles llenas de gente. Los que quedan luchan para sobrevivir. Tu corte y tú no sois una excepción. Ni [Root.GetTitle]s son inmunes al toque de la Muerte.\n\n¿Cuándo terminará esta pesadilla?, te preguntas. Quién sabe. Tal vez debe empeorar mucho más antes de que las cosas mejores. Lo único que sabes con seguridad es que las calles no volverán estar llenas de gente durante muchos años. Las cicatrices en las mentes de tus súbditos se mantendrán durante mucho más tiempo…;;;;;;;;;x
EVTOPTA_RIP_22010;Will our lives ever be the same again?;Nos vies redeviendront-elles les mêmes un jour ?;Wird unser Leben jemals wieder so sein wie früher?;;¿Volverán a ser nuestras vidas a ser como eran alguna vez?;;;;;;;;;x
EVTOPTA_RIP_22010_TOOLTIP;The depopulation level increases by 1 in all of your counties.;Le niveau de dépopulation augmente d'un point dans tous vos comtés.;Der Bevölkerungsverlust in all Euren Provinzen erhöht sich um 1.;;El nivel de despoblación aumenta en 1 en todas tus provincias.;;;;;;;;;x
EVTNAME_RIP_22011;A Glimmer of Hope;Une lueur d'espoir;Ein Hoffnungsschimmer;;Un rayo de esperanza;;;;;;;;;x
EVTDSC_RIP_22011;These have been hard days, no one can deny it, but perhaps the worst has passed. The rumors concerning the living dead have all but ceased. It seems like the pale, twisted specters which have haunted your realm were nothing but sick people. Most of them were not even aggressive, despite the claims of the mob. While the sick still pose a danger to others, the fear is not so great as before, and the situation has been handled in the best way you could hope for. \n\nAll is not over yet, however. The realm might have pulled through this panic, but the disease is still claiming lives. There is no rest nor respite until the epidemic is over.;Ce fut des jours difficiles, personne ne peut le nier, mais peut-être que le pire est derrière nous. Les rumeurs concernant les morts-vivants ont pratiquement cessé. Il semble que les pâles fantômes difformes qui ont hanté vos terres n'étaient rien d'autre que des gens malades. La plupart d'entre eux n'étaient même pas agressifs, contrairement aux dires de la foule. Tandis que les malades présentent encore un danger pour les autres, la peur n'est plus aussi grande qu'avant, et la situation a été gérée du mieux que vous pouviez l'espérer. \n\nCependant, tout n'est pas terminé. Le pays est peut-être débarrassé de cette panique, mais la maladie continue à prendre des vies. Il n'y aura pas de répit tant qu'elle ne disparaîtra pas totalement.;Es waren harte Zeiten, das ist unbestritten, aber vielleicht ist das Schlimmste ausgestanden. Die Gerüchte von den lebenden Toten sind so gut wie verstummt. Offenbar hatte es sich bei den fahlen, verwachsenen Schreckgespenstern, die Euer Reich heimsuchten, lediglich um Schwerkranke gehandelt. Die meisten von ihnen waren nicht einmal aggressiv, auch wenn der Mob etwas anderes behauptet hatte. Auch wenn die Kranken noch immer eine Gefahr darstellen, hat die Furcht abgenommen und die Situation ist unter Kontrolle. \n\nAber noch ist nicht alles vorbei. Auch wenn die Panik überwunden ist, die Seuche fordert nach wie vor ihre Opfer. Es kann keine Erholung eintreten, ehe die Epidemie nicht überwunden ist.;;Han sido días duros, nadie puede negarlo, pero quizás lo peor haya pasado. Todos los rumores sobre muertos vivientes han terminado. Parece que esas apariciones pálidas y contrahechas que plagaban tu reino no eran más que gente enferma. La mayoría de ellos ni siquiera eran agresivos, a pesar de las acusaciones de la turba. Aunque los enfermos siguen representando un peligro para los otros, el miedo no es tan grande como antes, y la situación se ha resuelto del mejor modo que podías haber esperado.\n\nNo obstante, todo no ha acabado todavía. El reino puede haberse repuesto de este pánico, pero la enfermedad sigue cobrándose vidas. No hay ni descanso ni respiro hasta que termine la epidemia.;;;;;;;;;x
EVTOPTA_RIP_22011;May [Root.Religion.GetHighGodName] continue to show us mercy.;Que [Root.Get_le_HighGod] se montre miséricordieux.;Möge [Root.Religion.GetHighGodName] uns weiterhin barmherzig sein.;;Que [Root.Religion.GetHighGodName] nos siga mostrando misericordia.;;;;;;;;;x
EVTOPTA_RIP_22011_TOOLTIP_A;§Y'Peasant Unrest'§! will be removed from all of your Demesne.\n\n;'§YAgitation des paysans§!' sera retiré de tout votre domaine.\n\n;§Y"Unruhe unter den Bauern"§! wird von Eurer gesamten Domäne entfernt.\n\n;; §Y'Descontento campesino'§! desaparecerá de todos tus dominios.\n\n;;;;;;;;;x
EVTOPTA_RIP_22011_TOOLTIP_B;§Y'Peasant Crisis'§! will be removed from all of your Demesne.\n\n;'§YCrise paysanne§!' sera retiré de tout votre domaine.\n\n;§Y"Bauernkrise"§! wird von Eurer gesamten Domäne entfernt.\n\n;; §Y'Crisis campesina'§! desaparecerá de todos tus dominios.\n\n;;;;;;;;;x
EVTOPTA_RIP_22011_TOOLTIP;The peasants in your Demesne calm down.;Les paysans de votre domaine se sont calmés.;Die Bauern in Eurer Domäne kommen zur Ruhe.;;Los campesinos de tu heredad se calman.;;;;;;;;;x
ancestor_worship;Venerate the Ancestors;Rendre un culte aux Ancêtres;Ahnenverehrung;;Adorar a los Antepasados;;;;;;;;;x
ancestor_worship_desc;Make a sacrifice to your Ancestors and ask for their aid regarding an important matter, such as relationships or prosperity. This can only be done every tenth year.;Faire un sacrifice à vos Ancêtres et demander leur aide concernant une question importante, telle que les relations humaines ou la prospérité du pays. Ceci peut seulement être fait tous les dix ans.;Bringt Euren Ahnen ein Opfer dar und bittet sie um ihre Hilfe in einer wichtigen Angelegenheit, beispielsweise Beziehungen oder den Wohlstand betreffend. Dies ist einmal in zehn Jahren möglich.;;Haces un sacrificio a tus Antepasados y les pides ayuda en un asunto muy importante, como relaciones o prosperidad. Esto solo se puede cada diez años.;;;;;;;;;x
prepare_worship_ancestors;You begin preparations for the sacrifice.;Vous commencez les préparatifs pour le sacrifice.;Ihr beginnt mit den Vorbereitungen für das Opfer.;;Empiezas los preparativos del sacrificio.;;;;;;;;;x
raise_defensive_unit;Summon Devout Warriors;Faire appel à de fervents guerriers;Ruft ergebene Krieger herbei;;Llama a los guerreros devotos;;;;;;;;;x
raise_defensive_unit_desc;Due to your reputation as [Root.Religion.GetHighGodName]'s faithful servant, you can summon a band of devout warriors to defend your realm against the heathens.;Grâce à votre réputation de serviteur fidèle envers [Root.Get_le_HighGod], vous pouvez faire appel à une bande de fervents guerriers pour défendre votre pays contre les infidèles.;Aufgrund Eures Rufs als ergebener Diener von [Root.Religion.GetHighGodName] habt Ihr die Möglichkeit, eine Gruppe ergebener Krieger zur Verteidigung Eures Reiches gegen die Heiden herbeizurufen.;;Gracias a tu reputación como fiel servidor de [Root.Religion.GetHighGodName], puedes llamar a una banda de guerreros devotos para ayudarte a defender el reino contra los infieles.;;;;;;;;;x
summon_defensive_unit;You summon a band of devout warriors.\n;Vous faites appel à une bande de fervents guerriers.\n;Ihr ruft eine Gruppe ergebener Krieger herbei.\n;;Llamas a una banda de guerrero devotos.;;;;;;;;;x
raise_defensive_unit_tooltip;Is the Primary Defender against a Religious Enemy\n;Est le principal défenseur contre un ennemi religieux\n;Ist der Hauptverteidiger gegen einen religiösen Feind\n;;Es el Defensor Principal contra un enemigo religioso.\n;;;;;;;;;x
invigorated;Invigorated;A retrouvé son énergie;Voller Leben;;Fortalecido;;;;;;;;;x
good_listener;Good Listener;Personne qui sait écouter;Guter Zuhörer;;Sabe escuchar;;;;;;;;;x
new_insights;New Insights;Nouvelles idées;Neue Einsichten;;Nuevas ideas;;;;;;;;;x
bargainer;Bargainer;Marchandage;Talent für Feilschen;;Negociador;;;;;;;;;x
confident;Confident;Confiance en l'avenir;Selbstbewusst;;Seguro;;;;;;;;;x
overtaxed_subjects;Overtaxed Subjects;Sujets surimposés;Zu hoch besteuerte Untertanen;;Súbditos sobrecargados;;;;;;;;;x
inspired_warriors;Inspired Warriors;Guerriers inspirés;Inspirierte Krieger;;Guerreros inspirados;;;;;;;;;x
respected_by_the_people;Respected by the People;Respect du peuple;Vom Volk respektiert;;Respetado por el pueblo;;;;;;;;;x
bad_person;Bad Person;Mauvaise personne;Schlechter Mensch;;Mala persona;;;;;;;;;x
blessing_of_health;Blessing of Health;Santé miraculeuse;Mit Gesundheit gesegnet;;Bendición de salud;;;;;;;;;x
DEATH_SACRIFICED_ANCESTORS;was offered up in sacrifice to the Ancestors by $KILLER$;a été offert[Get_E] aux Ancêtres sur ordre de $KILLER$;wurde von $KILLER$ den Ahnen als Opfer dargebracht;;fue ofrecid[Root.GetOA] en sacrificio a los Antepasados por $KILLER$;;;;;;;;;x
EVTDESC_TOG_7000;You have decided to visit the shrine in the holy grove and make a sacrifice in the honor of your Ancestors, hoping for their aid in return. What will you ask of your fore[Root.GetFatherMother]s?;Vous avez décidé de visiter le sanctuaire du bosquet sacré et de faire un sacrifice en l'honneur de vos Ancêtres, en espérant leur aide en retour. Que demanderez-vous à vos grand-[Root.GetFatherMother]s ?;Ihr habt entschieden den Schrein im heiligen Hain aufzusuchen, um Euren Ahnen ein Opfer darzubringen, damit sie Euch ihre Hilfe gewähren. Welchen Wunsch habt Ihr an Eure Vorfahren?;;Has decidido visitar el templo en el bosque sagrado y hacer un sacrificio en honor a tus Antepasados, esperando su ayuda a cambio. ¿Qué pedirás a tus antecesores?;;;;;;;;;x
EVTOPTA_TOG_7000;A long and healthy life.;Une longue et saine vie.;Ein langes und gesundes Leben.;;Una vida larga y sana;;;;;;;;;x
EVTOPTB_TOG_7000;I wish for affection and companionship.;Je souhaite de l'affection et de la camaraderie.;Ich wünsche mir Zuneigung und Freundschaft.;;Deseo afecto y compañía;;;;;;;;;x
EVTOPTC_TOG_7000;Guide my sword in battle and let me conquer my enemies!;De guider mon épée dans la bataille et de m'aider à conquérir mes ennemis !;Leite mein Schwert in der Schlacht, auf dass ich meine Feinde unterwerfe!;;¡Guiar mi mano en la batalla y poder vencer a mis enemigos!;;;;;;;;;x
EVTOPTD_TOG_7000;Prosperity and growth for my realm.;Prospérité et richesses dans mes terres.;Wohlstand und Wachstum für mein Reich.;;Prosperidad y crecimiento para mi reino.;;;;;;;;;x
EVTOPTE_TOG_7000;Ancestors, share your wisdom with me!;De partager leur sagesse avec moi !;Ahnherren, teilt Euer Wissen mit mir!;;¡Antepasados, compartid vuestra sabiduría conmigo!;;;;;;;;;x
EVTDESC_TOG_7001_health;You asked your Ancestors for health and longevity. Now it is time to present your offering - what will you give them in return?;Vous avez demandé à vos Ancêtres la santé et la longévité. À présent, il est temps de présenter votre offrande. Que voulez-vous donner en retour ?;Ihr habt Eure Ahnen um Gesundheit und ein langes Leben gebeten. Nun müsst Ihr entscheiden, was Ihr ihnen als Opfer anbietet. Welches Opfer bringt Ihr ihnen dar?;;Has pedido a tus Antepasados salud y longevidad. Ahora es el momento de hacer tu ofrenda. ¿Qué les darás a cambio?;;;;;;;;;x
EVTDESC_TOG_7001_relationships;You asked your Ancestors for aid with your relationships. Now it is time to present your offering - what will you give them in return?;Vous avez demandé à vos Ancêtres de l'aide pour vos relations. À présent, il est temps de présenter votre offrande. Que voulez-vous donner en retour ?;Ihr habt Eure Ahnen um Hilfe bei der Verbesserung Eurer Beziehungen gebeten. Nun müsst Ihr entscheiden, was Ihr ihnen als Opfer anbietet. Welches Opfer bringt Ihr ihnen dar?;;Has pedido a tus Antepasados ayuda en tus relaciones. Ahora es el momento de hacer tu ofrenda. ¿Qué les darás a cambio?;;;;;;;;;x
EVTDESC_TOG_7001_war;You asked your Ancestors for military power and prowess in battle. Now it is time to present your offering - what will you give them in return?;Vous avez demandé à vos Ancêtres de la puissance militaire et des prouesses sur le champ de bataille. À présent, il est temps de présenter votre offrande. Que voulez-vous donner en retour ?;Ihr habt Eure Ahnen um militärische Macht und Erfolg in der Schlacht gebeten. Nun müsst Ihr entscheiden, was Ihr ihnen als Opfer anbietet. Welches Opfer bringt Ihr ihnen dar?;;Has pedido a tus Antepasados fuerza militar y destreza en la batalla. Ahora es el momento de hacer tu ofrenda. ¿Qué les darás a cambio?;;;;;;;;;x
EVTDESC_TOG_7001_prosperity;You asked your Ancestors for prosperity and wealth for your realm. Now it is time to present your offering - what will you give them in return?;Vous avez demandé à vos Ancêtres la prospérité et la richesse pour vos terres. À présent, il est temps de présenter votre offrande. Que voulez-vous donner en retour ?;Ihr habt Eure Ahnen um Wachstum und Wohlstand gebeten. Nun müsst Ihr entscheiden, was Ihr ihnen als Opfer anbietet. Welches Opfer bringt Ihr ihnen dar?;;Has pedido a tus Antepasados prosperidad y riqueza para tu reino. Ahora es el momento de hacer tu ofrenda. ¿Qué les darás a cambio?;;;;;;;;;x
EVTDESC_TOG_7001_wisdom;You asked your Ancestors for guidance and knowledge. Now it is time to present your offering - what will you give them in return?;Vous avez demandé à vos Ancêtres conseils et connaissances. À présent, il est temps de présenter votre offrande. Que voulez-vous donner en retour ?;Ihr habt Eure Ahnen um Wissen und Ratschlag gebeten. Nun müsst Ihr entscheiden, was Ihr ihnen als Opfer anbietet. Welches Opfer bringt Ihr ihnen dar?;;Has pedido a tus Antepasados guía y conocimiento. Ahora es el momento de hacer tu ofrenda. ¿Qué les darás a cambio?;;;;;;;;;x
EVTOPTA_TOG_7001;Oh, great fore[Root.GetFatherMother]s, I willingly offer you my flesh and blood!;Oh grand-[Root.GetFatherMother]s, j'offre volontiers ma chair et mon sang !;Oh, meine Ahnen, mein Fleisch und Blut bin ich bereit Euch zu opfern!;;¡Oh, grandes antecesores, os ofrezco voluntariamente mi carne y sangre!;;;;;;;;;x
EVTOPTA_TOG_7001_TOOLTIP;You offer the Ancestors one of your body parts.\n;Vous offrez aux Ancêtres une partie de votre corps.\n;Ihr bietet den Ahnen einen Teil Eures Körpers an.\n;;Ofreces a los Antepasados una parte de tu cuerpo.\n;;;;;;;;;x
EVTOPTB_TOG_7001;May this soul serve you well in the afterlife!;Que cette âme vous serve bien dans l'au-delà !;Möge diese Seele Euch im Jenseits gut dienen!;;¡Que esta alma os sirva bien en la otra vida!\n;;;;;;;;;x
EVTOPTB_TOG_7001_TOOLTIP;You offer the Ancestors the life of one of your prisoners.\n;Vous offrez aux Ancêtres la vie d'un de vos prisonniers.\n;Ihr bietet den Ahnen das Leben eines Gefangenen an.\n;;Ofreces a los Antepasados la vida de uno de tus prisioneros.\n;;;;;;;;;x
EVTOPTC_TOG_7001;Ancestors, may this feast please you!;Ancêtres, que ce festin vous plaise !;Ahnen, ich hoffe, dieses Festmahl ist nach Eurem Geschmack!;;¡Que este festín os satisfaga, Antepasados!;;;;;;;;;x
EVTOPTC_TOG_7001_TOOLTIP;You offer the Ancestors the best food and drink money can buy.\n;Vous offrez aux Ancêtres ce qu'il existe de mieux en nourriture et boisson.\n;Ihr bietet den Ahnen das beste kulinarische Programm, das es für Geld zu kaufen gibt.\n;;Ofreces a los Antepasados la mejor comida y bebida que se pueden comprar.\n;;;;;;;;;x
EVTOPTD_TOG_7001;I had this idol carved in your honor. I hope it will please you.;J'ai fait tailler cette idole en votre honneur. J'espère qu'elle vous plaira.;Dieses Götzenbild habe ich Euch zu Ehren anfertigen lassen. Ich hoffe, es trifft auf Eure Anerkennung.;;He tallado este ídolo en vuestro honor. Espero que os complazca.;;;;;;;;;x
EVTOPTD_TOG_7001_TOOLTIP;You offer the Ancestors a small carving.\n;Vous offrez aux Ancêtres une petite sculpture.\n;Ihr bietet den Ahnen eine Schnitzerei an.\n;;Ofreces a los Antepasados una pequeña talla.\n;;;;;;;;;x
EVTOPTE_TOG_7001;May this soul serve you well in the afterlife!;Que cette âme vous serve bien dans l'au-delà !;Möge diese Seele Euch im Jenseits gut dienen!;;¡Que esta alma os sirva bien en la otra vida!\n;;;;;;;;;x
EVTOPTE_TOG_7001_TOOLTIP;You offer the Ancestors the life of one of your courtiers.\n;Vous offrez aux Ancêtres la vie d'un de vos courtisans.\n;Ihr bietet den Ahnen das Leben eines Eurer Höflinge an.\n;;Ofreces a los Antepasados la vida de uno de tus cortesanos.\n;;;;;;;;;x
EVTDESC_TOG_7002_limb;You lay down on the offering stone, bracing yourself for the ritual. Thankfully the [Root.Religion.GetPriestTitle]'s knife is sharp and soon the stone is dark with your blood. Your agonized screams will surely have pleased the ancestor. Now all you can do is wait, and hope.;Vous vous placez sur la pierre sacrificielle pour pouvoir commencer le rituel. Fort heureusement le couteau de [Root.Religion.GetPriestTitle] est bien affûté et la pierre est recouverte par votre sang. Vos cris d'agonie auront sûrement plu aux Ancêtres. À présent, tout ce que vous pouvez faire c'est attendre, et espérer.;Ihr legt Euch auf den Opferstein und bereitet Euch auf das Ritual vor. Zum Glück ist das Messer des/der [Root.Religion.GetPriestTitle] scharf und schon bald ist der Stein dunkel von Eurem Blut. Eure Schmerzensschreie werden die Ahnen bestimmt zufriedenstellen. Nun müsst Ihr nur noch warten und hoffen.;;Te tumbas en la piedra de ofrendas, preparándote para el ritual. Por suerte, el cuchillo del [Root.Religion.GetPriestTitle] es afilado y muy pronto la piedra ennegrece con tu sangre. Seguro que tus gritos de agonía han complacido a los Antepasados. Ahora solo queda esperar.;;;;;;;;;x
EVTDESC_TOG_7002_human;The offering struggled violently when the [Root.Religion.GetPriestTitle] and her disciples pushed it down on the offering stone. The Ancestors will surely be pleased with such a vigorous servant. Now all you can do is wait, and hope.;L'offrande s'est débattue violemment lorsque le [Root.Religion.GetPriestTitle] et ses disciples l'ont placée sur la pierre sacrificielle. Les Ancêtres seront sûrement contents d'un serviteur si vigoureux. À présent, tout ce que vous pouvez faire c'est attendre, et espérer.;Das Opfer wehrte sich aus Leibeskräften, als der/die [Root.Religion.GetPriestTitle] und seine Schüler es hinab auf den Opferstein zwangen. Die Ahnen werden einen derart kraftstrotzenden Diener sicherlich positiv aufnehmen. Nun müsst Ihr nur noch warten und hoffen.;;La ofrenda lucha con violencia cuando el [Root.Religion.GetPriestTitle] y sus discípulos la empujan contra la piedra de ofrendas. Seguro que los Antepasados estarán encantados con un servidor tan enérgico. Ahora lo único que puedes hacer es esperar.;;;;;;;;;x
EVTDESC_TOG_7002_feast;Together with the [Root.Religion.GetPriestTitle] and her disciples you placed a great bounty of food and drink on the offering stone. You spent the entire night feasting and singing the great chants in your Ancestors' honor. Now all you can do is wait, and hope.;Avec le [Root.Religion.GetPriestTitle] et ses disciples, vous avez placé une grande quantité de nourriture et de boissons sur la pierre sacrificielle. Vous avez passé la nuit entière à festoyer et chanter les grands chants en l'honneur de vos Ancêtres. À présent, tout ce que vous pouvez faire c'est attendre, et espérer.;Gemeinsam mit dem/der [Root.Religion.GetPriestTitle] und seinen Schülern habt Ihr eine große Menge Speisen und Getränke auf den Opferstein gelegt. Die ganze Nacht verbringt Ihr essend, trinkend und singend, zu Ehren Eurer Ahnen. Nun müsst Ihr nur noch warten und hoffen.;;Junto con el [Root.Religion.GetPriestTitle] y sus discípulos ponéis una gran cantidad de comida y bebida en la piedra de ofrendas. Pasáis toda la noche festejando y cantando los grandes cantos en honor de tus Antepasados. Ahora solo queda esperar.;;;;;;;;;x
EVTDESC_TOG_7002_carving;You placed the delicate little idol on the offering stone and paid your respect to your Ancestors. Now all you can do is wait, and hope.;Vous avez placé la petite idole sur la pierre sacrificielle et rendu hommage à vos Ancêtres. À présent, tout ce que vous pouvez faire c'est attendre, et espérer.;Ihr brachtet das zerbrechliche kleine Götzenbild auf dem Opferstein in Position und erwiest den Ahnen Euren Respekt. Nun müsst Ihr nur noch warten und hoffen.;;Sitúas el delicado ídolo en la piedra de ofrendas y presentas respetos a tus Antepasados. Ahora solo queda esperar.;;;;;;;;;x
EVTOPTA_TOG_7002;May the Ancestors bestow their blessing upon me.;Que les Ancêtres m'accordent leur grâce.;Mögen die Ahnen mir ihren Segen gewähren.;;Que los Antepasados me otorguen su bendición.;;;;;;;;;x
EVTDESC_TOG_7016;I am sick, I know I am. Yet my physician has been struck dumb by how much energy I seem to possess, in the face of the anguish I should be going through. I want to say that I have the Ancestors by my side, but I'm not sure anyone would believe me.;Je suis malade, je sais que je le suis. Pourtant, mon physicien est béat en voyant l'énergie qu'il me reste face au supplice que je dois traverser. Je voudrais dire que les Ancêtres sont à mes côtés, mais je doute que quelqu'un me croie.;Ich bin krank, ich weiß, dass ich es bin. Doch mein Arzt hat keine Erklärung dafür, warum ein derartiges Übermaß an Energie in mir steckt, obwohl ich doch eigentlich schlimmste Qualen leiden müsste. "Das liegt an der Hilfe der Ahnen", möchte ich ihm erklären, aber ich bin mir nicht sicher, ob man mir glauben würde.;;Estoy enfermo, sé que lo estoy. Sin embargo, mi médico se queda sin palabras al ver cuánta energía parezco tener, sabiendo la agonía por la que tendría que estar pasando. Quisiera decir que los Antepasados están de mi lado, pero sé si alguien me creería.;;;;;;;;;x
EVTOPTA_TOG_7016;Perhaps it's my positive attitude?;Peut-être est-ce mon attitude positive ?;Vielleicht ist das meine positive Einstellung?;;A lo mejor es mi actitud positiva.;;;;;;;;;x
