EVTTITLE_ATEOW_realm_event_99999;Zapadoslavia;;;;;;;;;x,,,,,,,,
EVTDESC_ATEOW_realm_event_99999;Legends say that at one time all Slavs where united as brothers, but the great disaster that befell our world tore us apart. Yugoslavia showed that hope of reunification was not lost, and like the Southern Slavs it was only a matter of time until the Western Slavs would find common ground and reunite.\n\nIt was [e_zapadoslavia.Holder.GetFirstNameWithNick] who finally brought the Western Slavs together under the banner of Zapadoslavia. Throughout the new realm, Poles, Czechs and Slovaks celebrate this momentous occasion.;;;;;;;;;x,,,,
EVTDESC_HOLY_ORDER_6;My [GetFromRelation], [From.GetTitledFirstName], has requested to join [holy_order_to_join.GetName] in their [Root.GetMissionFight] [Root.GetAgainstForFaith], even though this will forever disinherit him.;M[From.GetOnA] [GetFromRelation], [From.Get_le_TitledFirstName], a demandé à rejoindre les preux chevaliers de l'Ordre du Temple dans leur lutte contre les infidèles, même si cela le déshéritera à jamais.;Mein [GetFromRelation], [From.GetTitledFirstName] will sich dem Orden der Tempelritter in ihrem Kampf gegen die Ungläubigen anschließen, auch wenn er dadurch auf alle Zeiten enterbt wird.;;Mi [GetFromRelation] [From.GetTitledFirstName] ha solicitado unirse a los Caballeros Templarios en la lucha contra los infieles, a pesar de que esta acción le desheredará para siempre.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTTOOLTIP_HOLY_ORDER_7;[This.GetTitledFirstName] becomes a member of [holy_order_to_join.GetName].;[This.Get_Le_TitledFirstName] devient un Templier.;[This.GetTitledFirstName] wird Tempelritter.;;[This.GetTitledFirstName] se convierte en Caballero Templario.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC_HOLY_ORDER_16;Your Highness, this extremely generous donation will not be forgotten. You have my friendship, as well as that of the Church. Rest assured that you will be rewarded in the Afterlife, if not on Earth!\nMay [From.Religion.GetHighGodName] bless you,\n\n[From.GetTitledFirstName];[Root.PrimaryTitle.GetFOA], ce don des plus généreux ne sera pas oublié. Recevez notre reconnaissance ainsi que celle de l'Église et vivez avec l'assurance que vous en obtiendrez récompense dans la vie après la mort, si ce n'est en ce bas monde !\nPuissiez-vous être béni[Root.Get_E] par [From.Get_le_HighGod],\n\nGrand Maître [From.GetFirstName];Eure Hoheit, diese äußerst großzügige Spende wird nicht vergessen werden. Ihr habt meine Freundschaft, ebenso wie die der Kirche. Seit versichert, dass ihr im Jenseits belohnt werdet, wenn nicht bereits noch während ihr auf der Erde wandelt!\nMöge [From.Religion.GetHighGodName] euch segnen,\n\nGroßmeister [From.GetFirstName];;Alteza, nunca olvidaremos esta generosa donación. Contáis con mi amistad, así como la de la Iglesia. ¡Sabed que tendréis una recompensa en la otra vida, si no en esta!\nQue [From.Religion.GetHighGodName] os bendiga.\n\nGran Maestre [From.GetFirstName];;;;;;;;;x
EVTDESC_HOLY_ORDER_18;Your majesty, this antagonism is completely unwarranted! The Order serves [From.Religion.GetHighGodName], but, one has to wonder, do you?\n\nWith anger and sadness,\n\n[From.GetTitledFirstName];[Root.PrimaryTitle.GetFOA], cette opposition est complètement injustifiée ! Notre Ordre sert [From.Get_le_HighGod] et votre acte tend à montrer que vous non !\n\nEntre colère et tristesse,\n[From.GetTitledFirstName];Eure Majestät, dieser Antagonismus ist völlig ungerechtfertigt! Der Orden dient [From.Religion.GetTitledFirstName], aber tut ihr es auch!?\n\nMit Wut und Traurigkeit,\n\n[From.GetTitledFirstName];;¡Vuestra Majestad, esta hostilidad está totalmente injustificada! La Orden sirve a [From.Religion.GetHighGodName], pero no puedo más que dudar si vos lo hacéis\n\nCon rabia y tristeza,\n\n[From.GetTitledFirstName];;;;;;;;;x
expelled_one_holy_order;Expelled [Root.GetReligionsHolyOrder];[This.GetReligionsHolyOrder] expulsés;[This.GetReligionsHolyOrder] vertrieben;;[This.GetReligionsHolyOrder] expulsados;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
expel_holy_order_title;Expel [holy_order_to_expel.GetName];Expulser [holy_order_to_expel.GetName];Vertreibt [holy_order_to_expel.GetName];;Expulsar [holy_order_to_expel.GetName];;;;;;;;;x
EVTDESC_HOLY_ORDER_13;Most righteous [Root.GetTitledFirstName], [holy_order_to_build.GetName] needs more castles in order to train troops and generate a supporting income. It has come to my attention that there is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\nMay [From.Religion.GetHighGodName] bless you,\n\n[From.GetTitledFirstName];Très juste [Root.GetTitledFirstName], l'Ordre a besoin de nouvelles commanderies afin d'entraîner des troupes ainsi que pour générer les revenus nécessaires à son fonctionnement. Or, un de nos sergents nous a signalé que vous possédiez un emplacement approprié sur vos terres de [FromFrom.GetName]. Nous sommes disposés à vous payer 100 d'or en échange du droit d'y construire une forteresse.\nPuissiez-vous être béni[Root.Get_E] par [From.Get_le_HighGod]\n\nGrand Maître [From.GetFirstName];Rechtschaffenste[Root.GetrMale] [Root.GetTitledFirstName], der Orden braucht mehr Burgen, um Truppen zu trainieren und Einkommen zu generieren. Es ist mir aufgefallen, dass es in eurer Domäne einen geeigneten Ort mit [FromFrom.GetName] gibt. Ich bin bereit 100 Goldstücke im Austausch für das Recht zu zahlen, dort eine Burg zu bauen.\nMöge [From.Religion.GetHighGodName] euch segnen,\n\nGroßmeister [From.GetFirstName];;Just[Root.GetOA] [Root.GetTitledFirstName], la Orden necesita más castillos para adiestrar tropas y generar ingresos que nos sustenten. Se me ha llamado la atención sobre una ubicación adecuada en vuestros dominios. En [FromFrom.GetName], para ser exactos. Estoy dispuesto a pagaros 100 monedas de oro a cambio del derecho a construir una fortaleza allí.\nQue [From.Religion.GetHighGodName] os bendiga.\n\nGran Maestre [From.GetFirstName];;;;;;;;;x
EVTDESC_HOLY_ORDER_14;The architects of [holy_order_to_build.GetName] have constructed a castle in [Root.GetName]!;L'Ordre de saint Thaddée a construit un château en [Root.GetName] !;Der Orden des Heiligen Thaddeus hat eine Burg in [Root.GetName] errichtet!;;¡La Orden de San Aday ha construido un castillo en [Root.GetName]!;;;;;;;;;x
EVTDESC_HOLY_ORDER_21;Most noble [Root.GetTitledFirstName], I have considered your request but I already have plans with the land of [FromFromFrom.GetName]. I have to decline your request. \nMay [From.Religion.GetHighGodName] guide you to the right location,\n\n[From.GetTitledFirstName];;;;;;;;;x,,,,,,,,
EVTOPTA_HOLY_ORDER_21;Curses!;;;;;;;;;x,,,,,,,,
EVTDESC_HOLY_ORDER_22;[From.GetTitledFirstName] accepted your request and the [Root.PrimaryTitle.GetAdjective] architects have constructed a castle in [FromFromFrom.GetName]!;;;;;;;;;x,,,,,,,,

EVTTITLE_HOLY_ORDER_24;The Rebirth of the Templars;;;;;;;;;x,,,,,,,,
EVTDESC_HOLY_ORDER_24;When [Root.Religion.GetName] warriors entered Paris, their biggest suprise was the perfect condition of the Notre Dame. In the shadows of Paris, a group of [Root.Religion.GetName] zealous were risking their lifes to defend the temple. They killed Novelist lords and brided Thelematic officars to prevent any damage of building. Now they revealed themselves and since they no longer need to work in secret their leader decided to reorganise the group. They chose the name of legendary order, defending the faith before the event, the Templars. They are grabbing weapons and ready to go on the fields against the infidel!;;;;;;;;;x,,,,,,,,
EVTOPTA_HOLY_ORDER_24;Our shields!;;;;;;;;;x,,,,,,,,
EVTOPTB_HOLY_ORDER_24;Goofy bandits!;;;;;;;;;x,,,,,,,,
EVTOPTC_HOLY_ORDER_24;Interesting.;;;;;;;;;x,,,,,,,,

COURTE202_TITLE;Tales of the Sirius;;;;;;;;;x,,,,,,,,
COURTE202_DESC;Today [sirius_mystic.GetTitledFirstName] visited me and told me about [sirius_mystic.GetHerHis] people's origin myth. The [sirius_mystic.Culture.GetName]s consider the Sumers their ancestors. Or at least the ones who follow the old faith, like [sirius_mystic.GetHerHim]. It's also said that they came from a faraway star, the Sirius. No-one really knows how this could be possible, but there are tales about shamans with miraculous carts. [sirius_mystic.GetFirstName] told you about the legend of Madách, who was one of those that had a journey through the ether. We finished late in the night, when [sirius_mystic.GetSheHe] showed me the Sirius on the sky.;;;;;;;;;x,,,,,,,,
ATV202_OPTA;Please, tell me more!;;;;;;;;;x,,,,,,,,
ATV202_OPTB;I hate these tales.;;;;;;;;;x,,,,,,,,
ATV202_OPTC;These are just tales.;;;;;;;;;x,,,,,,,,
COURTE203_DESCA;I wanted to talk to [sirius_mystic.GetTitledFirstName] today, but I couldn't find [sirius_mystic.GetHerHim]. I asked around and nobody had met [sirius_mystic.GetHerHim] either since yesterday. The last time a little boy had seen [sirius_mystic.GetHerHim]. He told you that [sirius_mystic.GetFirstName] had gone out at night and sat in a strange cart, then it started flying. You don't really believe him and sent him away. But today night you saw something shinny on the sky, moving toward the Sirius...;;;;;;;;;x,,,,,,,,
COURTE203_DESCB;I wanted to talk to [sirius_mystic.GetTitledFirstName] today, but I couldn't find [sirius_mystic.GetHerHim]. I asked around and nobody had met [sirius_mystic.GetHerHim] either since yesterday. The last time a little boy had seen [sirius_mystic.GetHerHim]. He told you that [sirius_mystic.GetFirstName] had gone out at night and sat in a strange cart, then it started flying. You pretended that you don't belive him and sent him away. You spent the night starting at the sky and you saw something shinny moving toward the Sirius...;;;;;;;;;x,,,,,,,,
ATV203_OPTA;Could [sirius_mystic.GetHerHis] tales be the truth?;;;;;;;;;x,,,,,,,,
COURTE204_DESC; It was late in night when [sirius_mystic.GetTitledFirstName] came to your chamber. "[Root.PrimaryTitle.GetFOA], I have to leave by dawn. My ancestors called me from the Sirius, they need my help up there. I visited you to say farewell and ask if you want to go with me. But I need to warn you that we will never come back." [sirius_mystic.GetFirstName] stood there and waited for my respond.;;;;;;;;;x,,,,,,,,
ATV204_OPTA;I'll go with you!;;;;;;;;;x,,,,,,,,
ATV204_OPTB;Don't brother me with silly jokes!;;;;;;;;;x,,,,,,,,
COURTE205_DESC;You went outside and immediately saw a strange, shinning cart. [sirius_mystic.GetFirstName] smiled at you and sat in the cart. You hesitated for a moment but eventually followed [sirius_mystic.GetHerHim]. There were no horses before the cart but its wheels started to move on there own. You had never experienced such a speed that you now went with. Suddenly, it began to lift up. You kept your eyes closed for a few seconds. When you opened them, you saw [Root.Capital.GetName] as a tiny dot bellow. You looked at [sirius_mystic.GetFirstName] and you started to laugh together.;;;;;;;;;x,,,,,,,,
ATV205_OPTA;Sirius, we are coming!;;;;;;;;;x,,,,,,,,

nistr1title;The Rump Empire;;;;;;;;;x,,,,,,,,
nistr1desc;Among the empires of Europe Transnistria is one of the only among them which can trace it's origins to before the event. It had taken many forms throughout the years, first a tribe under the legendary Smirnovescu chiefs. Then, after a brief period of foreign rule, the nistrenian people revolted and established a stratocratic republic, with revolting army's generals becoming the new rulers of the realm. The Nistrenian Republic grew far and wide, eventually encompassing the whole kingdom of moldavia. Though the stratocracy was eventually replaced by the Transnistrian Empire under the Saint Empress Andriana, the State still remained, growing in Size to eventually incorporate most of the lands from Danube and Carpathians on the west to Volga and Caucasus to the east. Everything changed when Imparatul Octavian of the Portucaliu dynasty died without leaving a heir. The resultant crisis took a heavy toll on the Empire. Destabilized and reduced thrice in size, with the Korol of Ukraine growing greater in strength. The Empire is now on the verge of complete dissolution, the Dragos Imparatuls sitting on the throne must ensure the reformation of the mere rump state into the proper Empire it once was.;;;;;;;;;x,,,,,,,,
EVTOPTA_nistr1;Puterea Nistrinei nu Este Inca Moarta!;;;;;;;;;x,,,,,,,,
nistr211title;War-Torn State;;;;;;;;;x,,,,,,,,
nistr211desc;You were approached by your chancellor yesterday. He warned you that this civil war we are embroiled in is taking a heavy toll on our realm's already fragile stability, as local lords become more and more radicalized into supporting one of two sides. After you accused him of high treason, he was quick to reaffirm your that your cause is of course righteous. However our nation should better finish this war swiftly or else the consequences could be disastrous.;;;;;;;;;x,,,,,,,,
EVTOPTA_nistr211;He might sound treasonous, but I wonder if he is right...;;;;;;;;;x,,,,,,,,
nistr221title;Overexpansion;;;;;;;;;x,,,,,,,,
nistr221desc;You were approached by your chancellor yesterday. He warned you that the rate with which our realm is expanding could be damaging to our stability. Our military grows less and less efficient at managing the realm, leading the local lords all over our state to neglect you as a ruler and become more independent. He then added that while your realm conquering nearby states is certainly a good change, yet we probably should slow our pace and reorganise our military if we want it to stabilize.;;;;;;;;;x,,,,,,,,
EVTOPTA_nistr221;He might sound like a traitor, but I wonder if he is right...;;;;;;;;;x,,,,,,,,
EVTOPTB_nistr221;Fool! Traitor! I'll be sure to arrest him, everybody knows our Empire is great!;;;;;;;;;x,,,,,,,,
nistr231title;A Bad Emperor?;;;;;;;;;x,,,,,,,,
nistr231desc;You were approached by your chancellor yesterday. He had raised concerns about your... way of governing the state. Although his way of speech had been very lubricous, constantly wandering around into metaphors and excuses, you can still understand that what he is talking about is you, not doing a good enough job at being an Imparatul. He briefly mentions your skills as a diplomat and a steward being rather lacking and your vassals starting to doubt your authority over them. He finishes off by explaining that if this processes are to continue- Transnnistria would faced with disastrous consequences.;;;;;;;;;x,,,,,,,,
EVTOPTA_nistr231;He might sound like a traitor, but I wonder if he is right...;;;;;;;;;x,,,,,,,,
EVTOPTB_nistr231;Fool! Traitor! I'll be sure to arrest him, everybody knows I'm great!;;;;;;;;;x,,,,,,,,
nistr220title;Transnistria on the Brink of Collapse!;;;;;;;;;x,,,,,,,,
nistr220desc;Despite the Councillors warning, you had not fixed the problem our recovering Empire had... Was it because of the lack of will, abilities to act or even ill-intent on your behalf- is the question for the future generation to answer. The fact is, you have failed. The civil war has consumed our empire, permanently splitting it into two distinct halves, none of them strong enough to dominate the other and proclaim itself to be The Transnistrian Empire.;;;;;;;;;x,,,,,,,,
EVTOPTA_nistr210;Why have i not listened earlier?!;;;;;;;;;x,,,,,,,,
nistr220title;Transnistria on the Brink of Collapse!;;;;;;;;;x,,,,,,,,
nistr220desc;Despite the Councillors warning, you had not fixed the problem our recovering Empire had... Was it because of the lack of will, abilities to act or even ill-intent on your behalf- is the question for the future generation to answer. The fact is, you have failed. Your policy of overzealous expansion had lead our Empire to spread it's forces, still lacking in quantity, thin, resulting in a massive drop in our ability to govern the lands we have conquered, And eventually local rulers all around the empire refusing to accept our authority altogether.;;;;;;;;;x,,,,,,,,
EVTOPTA_nistr220;Why have i not listened earlier?!;;;;;;;;;x,,,,,,,,
nistr230title;Transnistria on the Brink of Collapse!;;;;;;;;;x,,,,,,,,
nistr230desc;Despite the Councillors warning, you had not fixed the problem our recovering Empire had... Was it because of the lack of will, abilities to act or even ill-intent on your behalf- is the question for the future generation to answer. The fact is, you have failed governing an empire. In such a turbulent time your inability to respond adequately to the hardships the Empire was going through had lead to them getting worse and worse. Your vassals, unwilling to participate in such a catastrophe of a state had desided to live, not that you can do much about it.;;;;;;;;;x,,,,,,,,
EVTOPTA_nistr230;Why have i not listened earlier?!;;;;;;;;;x,,,,,,,,
nistr21title;Collapse of the Transnistrian Empire!;;;;;;;;;x,,,,,,,,
nistr21desc;Transnistrian Empire, the great nation once spanning from Danube to Caspian sea and had dominated political shape of the Eastern Europe for over two hundred years is now in shambles. The empire itself is long removed from the years of its zenith, but only recently had the situation there deteriorated significantly. Dragos Kings, originally installed on the throne by a coalition of transnistrian nobles to avoid the continuation of the succession crisis, had not brought onto their promices of peace and stability, instead doing the exact opposite- they started a civil war. Polarization of the nobles to one of two camps, as well as general disenchantment about strong imperial authority have lead most vassals to declare themselves independent and the empire completely collapsing.;;;;;;;;x,,,,,,,,
EVTOPTA_nistr21;Truly a great loss for all of us.;;;;;;;;;x,,,,,,,,
EVTOPTB_nistr21;A power-vacuum, huh? I'll definitively keep an eye on that.;;;;;;;;;x,,,,,,,,
EVTOPTC_nistr21;...Trans-nistria?;;;;;;;;;x,,,,,,,,
nistr22title;Collapse of the Transnistrian Empire!;;;;;;;;;x,,,,,,,,
nistr22desc;Transnistrian Empire, the great nation once spanning from Danube to Caspian sea and had dominated political shape of the Eastern Europe for over two hundred years is now in shambles. The empire itself is long removed from the years of its zenith, but only recently had the situation there deteriorated significantly. After a brief period of unhinged expansion, Transnistria had experienced a complete inability to manage no only newly conquered lands, but the crown ones as well. To defend themselves from the rampaging peasant uprisings and bandit raids, local lords started to rely more and more on themselves and less and less on the Imparatul. This, in turn, had left to Imparatul's powers dropping extensively, eventually leading to them abandoning him altogether and de-facto dissolvent of the empire.  ;;;;;;;;;x,,,,,,,,
EVTOPTA_nistr22;Truly a great loss for all of us.;;;;;;;;;x,,,,,,,,
EVTOPTB_nistr22;A power-vacuum, huh? I'll definitively keep an eye on that.;;;;;;;;;x,,,,,,,,
EVTOPTC_nistr22;...Trans-nistria?;;;;;;;;;x,,,,,,,,
nistr23title;Collapse of the Transnistrian Empire!;;;;;;;;;x,,,,,,,,
nistr23desc;Transnistrian Empire, the great nation once spanning from Danube to Caspian sea and had dominated political shape of the Eastern Europe for over two hundred years is now in shambles. The empire itself is long removed from the years of its zenith, but only recently had the situation there deteriorated significantly. A relatively long period of stabilization it all became undone by a single underskilled and arbitrary Imparatul. His arbitrary actions and lack of an ability to solve Imperial problems to the local lords, his vassals, eventually disenchanting the idea that a single imperial authority is a great idea, leading them to abandon the empire altogether, de-facto sissolving it.;;;;;;;;;x,,,,,,,,
EVTOPTA_nistr23;Truly a great loss for all of us.;;;;;;;;;x,,,,,,,,
EVTOPTB_nistr23;A power-vacuum, huh? I'll definitively keep an eye on that.;;;;;;;;;x,,,,,,,,
EVTOPTC_nistr23;...Trans-nistria?;;;;;;;;;x,,,,,,,,
nistr3title;Empire Stabilized;;;;;;;;;x,,,,,,,,
nistr3desc;Transnistrian Empire, the great nation once spanning from Danube to Caspian sea and had dominated political shape of the Eastern Europe over a century ago had not been in a great situation lately. Portucaliu, the orange dynasty that brought The Empire to its zenith had died down when Octavian, the last Imparatul died in a battle of Grozny. After his death multiple people claimed the throne, and so, with the ensuing civil war the downfall had began. It was halted half a century later, when Patriarch Carol had deposed Imparatul Mihai and crowned his son, a compromised figurehead, as a new Imparatul. Ieremia and the Imparatuls after him have had a hard job to do- to rebuild, unify and solidify Transnistria. And also not all imperial problems had been solved, we can say for sure that they did their job, and did it well.;;;;;;;;;x,,,,,,,,
EVTOPTA_nistr3;Finally, those dark times are in the past...;;;;;;;;;x,,,,,,,,
EVTOPTB_nistr3;Business as usual then.;;;;;;;;;x,,,,,,,,
nistr41title;The Dawn over New Tansnistria;;;;;;;;;x,,,,,,,,
nistr41desc;Transnistrian Empire, the great nation once spanning from Danube to Caspian sea and had dominated political shape of the Eastern Europe over a century ago had not been in a great situation lately. Portucaliu, the orange dynasty that brought The Empire to its zenith had died down when Octavian, the last Imparatul died in a battle of Grozny. After his death multiple people claimed the throne, and so, with the ensuing civil war the downfall had began. It was halted half a century later, when Patriarch Carol had deposed Imparatul Mihai and crowned his son, a compromised figurehead, as a new Imparatul. Ieremia and his successors did an astonishing job though. They destroyed Korolevstvo of Ukraine, whose rulers had opposed Imparatuls from the Empire's inception and crystallized a broken rumped system into a new, far stronger one. The fate of eastern Europe is now truly lying in the hands of the Imparatul.;;;;;;;;;x,,,,,,,,
EVTOPTA_nistr41;GLORIA LA NISTRENIA!;;;;;;;;;x,,,,,,,,
EVTOPTB_nistr41;What could it mean for the world?...;;;;;;;;;x,,,,,,,,
nistr4title;Rump Empire Crystallized;;;;;;;;;x,,,,,,,,
nistr4desc;Our once glorious Empire has not been in it's best shape lately, as at the year 2480 Imparatul Octavian had been killed by a Chechen Revolt, throwing the Empire into decades long period of civil war and instability, of which it came up as a broken rump state. Well no more should it bee like that, as Imparatul [GetFullName] and his predecessors had reformed Transnistria, destroying all the obstacles it could have on the way to greatness!;;;;;;;;;x,,,,,,,,
EVTOPTA_nistr4;Rasarit ca un Soare!;;;;;;;;;x,,,,,,,,
EVTDESCnistr.245;You are the current ruler of the glorious Transnistrian Empire. May your reign be a prosperous one!;;;;;;;;;x,,,,,,,,
EVTOPTAnistr.245;Slava Pentru Mine!;;;;;;;;;x,,,,,,,,
EVTDESCnistr.246;You are no longer the ruler of the Transnistrian Empire. Without your firm hand wise guidance it will surely crumble.;;;;;;;;;x,,,,,,,,
EVTOPTAnistr.246;What a loss for the Empire!;;;;;;;;;x,,,,,,,,
born_in_the_purple;Born in the Purple;;;;;;;;;;;;x
born_in_the_purple_desc;This character is violetnascut - literally "born in the purple". It's a honor bestowed only to children born of a ruling Imparatul or Imparateasa. Their succession claim is stronger than that of older siblings born before their parents ascended the throne.;;;;;;;;;;;;;x
augustus;Cel Mare;;;;;;;;;;;;;x
augustus_desc;This character is the current ruler of the rebuilt Transnistrian Empire and commands the respect an office of such magnitude is due.;;;;;;;;;;;;;x
nistr100title;Sche ne vmerla Ukraïna!;;;;;;;;;x,,,,,,,,
nistr100desc;Ukraine as a post-deluge kingdom had a bumpy history. Originally united in 2210 by Borys Stovbur, a chief from the city of Poltava, it later grew in size immensely, conquering not only all of the Ukrainian, but the Belarusian land as well. On Ukraïna's territorial peak Tsisar Bohdan even formed an Empire- Tsisarstvo of the Grand Ruthenia. Shamefully, the Empire didn't last for long, as Bohdan was killed be Imparataesa Andriana of the growing Transnistrian Empire. Bohdans realm was split between his two sons, Roman ruling in Belarus and Panas in Ukraine. Eventually Panas swear loyalty to the Imparateasa, to keep Ukraine from complete collapse. This was a crucial decision, as the Kingdom of Ukraine later became a major part of the Empire's history, strongly influencing its politics and even partaking in major civil wars. Nowadays, at the end of the rescent succession crisis, Ukraine came up at the top, as Korol Hryhoriy Kobzar had united with Patriarch Carol to stop the turmoil, instlling Patriarch's son, Ieremia as the ne Imparatul, a figurhead for the two. Would Ukraïna come up on top of this alliance, or will it finally be dissolved in the Transnistrian Empire?;;;;;;;;;x,,,,,,,,
EVTOPTA_nistr100;Slava Ukraïni!;;;;;;;;;x,,,,,,,,
nistr101title;Ukrainer Imparatul?!;;;;;;;;;x,,,,,,,,
nistr101desc;To say that Ukrainers were rather salty about losing their Empire to the transnistrians would surely an understatement. Nationalistic and separatist sentiments are high, while the general conformity to the Imparatul is low. Though Korol of Ukraine could not not share their sentiments, his status as a representative figure for the ukrainers informaly forbids him from becoming the Imparatul. Or at least forbade, as [GetDynName], King of Ukraine became one. Should he adhere to the will of his people and search a new destiny, or should he comply the imperial aristocracy or abandon his ukrainer origins?;;;;;;;;;x,,,,,,,,
EVTOPTA_nistr101;I'm first and foremost a Ukrainer. Destroy the dire Empire!;;;;;;;;;x,,,,,,,,
EVTOPTB_nistr101;I'm an Imparatul now! Why should I listen to some backwater peasants?!;;;;;;;;;x,,,,,,,,
nistr102title;Empire ruined by an Emperor.;;;;;;;;;x,,,,,,,,
nistr102desc;From the inception of the Transnistrian empire Ukrainers and Moldovans have been at each-other's throats, as Transnistria had defeated Grand Ruthenia and shattered it, vassalizing Ukraine. Recently though a major piece of news had reached our realm. Korol of Ukraine, after becoming the Imparatul had decided to completely shatter the Transnistrian Empire! The nobles of the realm couldn't have done much, as the vile Imparatul had a total control over the military, ordering to murder most of them at sight. Korol now bravely gazes into the future, as Transnistria is now becoming a mere thing of the past.;;;;;;;;;x,,,,,,,,
EVTOPTA_nistr102;Slava Ukraïni!;;;;;;;;;x,,,,,,,,
EVTOPTB_nistr102;He did WHAT!?!;;;;;;;;;x,,,,,,,,
EVTOPTC_nistr102;A power-vacuum, huh? Though i wonder if it would be filled in a future...;;;;;;;;;x,,,,,,,,
EVTOPTD_nistr102;"Imparatul"? Is this some kind of title?;;;;;;;;;x,,,,,,,,
nistr104title;Ecumenical Patriarch takes over!;;;;;;;;;x,,,,,,,,
nistr104desc;After the Transnistrian Empire collapsed, the Ecumenical Patriarchate, historically subservient to the empire, felt a lack of authority. The Patriarchate needed to take ecclesiastical orders from a secular ruler, but without an emperor there is no-one giving orders. That's why The Ecumenical Patriarch decided to declare full independence, by usurping the heartlands of what once was The Empire of Transnistria. Most other Patriarchs, including the Georgian and Ukrainian, have accepted this. With the central authority of Orthodoxites now independent, their autonomy would surely increase.;;;;;;;;;x,,,,,,,,
EVTOPTA_nistr104;I dont know how to feal about this...;;;;;;;;;x,,,,,,,,
EVTOPTB_nistr104;Ecumeniacal who??;;;;;;;;;x,,,,,,,,
nistr_rundown;There are three possible outcomes for the Empire- it would either Collapse(due to an overwhelming civil war, overextension or bad rulership), Stabilize or Reinforce(if all the hindrances the emperors rule faces are to be removed).;;;;;;;;;x,,,,,,,,
nistr_f;The Empire Collapses!;;;;;;;;;x,,,,,,,,
nistr_concerns_war;You understand that to save the Empire from collapse you would need to end this civil war as soon as possible...;;;;;;;;;x,,,,,,,,
nistr_concerns_overgrowth;You understand that to save the Empire from collapse you would need to stop the empires expansion immediately, or even reduce its size compared to the current one...;;;;;;;;;x,,,,,,,,
nistr_no_concerns_overgrowth;You scoff at his ideas. After all, when did overzealous expansion ever hurt anyone!;;;;;;;;;x,,,,,,,,
nistr_concerns_badruler;You understand that to save the Empire from collapse you would need to either get better at stewardship, diplomacy or to make your vassals adore you as you are...;;;;;;;;;x,,,,,,,,
nistr_no_concerns_badruler;You scoff at his ideas. After all, you're the best ruler there ever was!;;;;;;;;;x,,,,,,,,
nistr_end_good;The Empire is now Stable and Reinforced!;;;;;;;;;x,,,,,,,,
nistr_end_med;The Empire is now Stable!;;;;;;;;;x,,,,,,,,

DEATH_LEFT_REDCOAT;left with the Redcoats westward;;;;;;;;;x,,,,,,,,
DEATH_LEFT_REDCOAT;Went to America: $DATE|Y$ at age $AGE|Y$;;;;;;;;;x,,,,,,,,

cleanup9000Desc;Strange Automatons emerged from a comet which crashed in [spawn_robot_province.GetName] and attacked [spawn_robot_target.GetBestName] for [spawn_robot_kingdom.GetName].;;;;;;;;;x,,,,,,,,
cleanup9000Title;Comet Sighted;;;;;;;;;x,,,,,,,,
cleanup9000OptA;Oh no...;;;;;;;;;x,,,,,,,,
cleanup9000OptB;Switch to Automatons.;;;;;;;;;x,,,,,,,,
